TESTS & DOCUMENTS 3D PRINTED CONNECTOR ,100,3D PRINTING (level 1),FEEDBACK
DOCUMENTS - HOW TO OPERATE 3D PRINTER,100,,Fantastic!!
IDENTIFIES THE MODEL OF PRINTER USED,100,, 
DESCRIBES - THE BED LEVELING PROCESS,100,, 
DESCRIBES - WHAT INFILL IS,100,, 
UNDERSTANDS - WHAT SLICER SOFTWARE DOES,100,,
UNDERTSANDS - WHAT AN .STL FILE IS,100,,
UNDERSTANDS - HOW TO USE SUPPORTS,100,,
UNDERSTANDS - WHAT G-CODE IS,100,,
OPTIMIZES DESIGN TO PRINT IN  LESS THAN 60min,100,,
REFLECTS AND OBSERVES - HOW TO IMPROVE DESIGN?,100,,
USES THE RIGHT TERMINOLOGY,100,,
INCLUDES LINK TO GCODE FILE,100,,
EXTRA EFFORT - TEST THE TOLERANCES OF THE 3D PRINTER,100,,
EXTRA EFFORT - MAKE CHANGES IN DESIGN TO IMPROVE 3D PRINT,100,,
,100%,,
