DOCUMENTS & DESCRIBES HOW THE TOOLS  WORK,100,WEEK 2 - VECTOR DRAWING, 
CONVERTS TEXT TO PATH ,100,, 
WORKS WITH COMPOUND PATHS / SHAPES,100,,
USES THE PEN TOOL,100,,
OUTLINES STROKES,100,,
TRACES AN IMAGE,100,,
USESTHE SUBSELECT TOOL,100,,
MANIPULATES THE JOINTS,100,,
MANIPULATES THE HANDLES TO REFINE PATH,100,,
USES THE RIGHT TERMINOLOGY IN REFLECTIONS,100,,
EXTRA EFFORT - DEMONSTRATES A TOOL NOT MENTIONED,100,,
CREATES PROJECT WITH SPECIFIC SIZE,100,,
USES ALIGN TOOLS SHOWS EFFORT IN OTHER AREAS,100,,
CONVERTS LOGO INTO OUTLINE ONLY,100,,
EXPORTS SVG,100,,
INCLUDES LINK TO FINAL DESIGN FILE,100,,
,100%,,
